text_translation,sentiment_scores,sentiment_label
"@pflegearzt @Friedelkorn @ LAguja44 Pardon wollte zitieren eigentlich das:
https://t.co/ejO7bIMyj8
Meine mentions inzw sind komplett undurchschaubar weil da Leute ihren supporter club Zwecks Likes zusammengerufen haben.",0.7351,positive
"RT @grantshapps: Aviation demand is reduced due to COVID-19, but airlines are being forced to fly some 'ghost flights' to avoid losing thei ...",-0.9246,negative
The D66 dream becomes reality: COVID-19 super deadly for the elderly (COLUMN) https://t.co/hf5ey6XoQU,0.7096,positive
The D66 dream becomes reality: COVID-19 super deadly for the elderly (COLUMN) https://t.co/hf5ey6XoQU,0.7096,positive
"RT @eucopresident: Following consultations I will hold a conference call shortly #EUCO members on # COVID-19 to coordinate #EU efforts.

We…",0.0,neutral
"RT @eucopresident: Following consultations I will hold a conference call shortly #EUCO members on # COVID-19 to coordinate #EU efforts.

We…",0.0,neutral
Read absorb and share https://t.co/IHPDY6qS4w,0.296,positive
"It is dumber and dumber! Now we know only of the 300 confirmed cases, but the thousands who may be already infected, we know he-le-times nothing!
It is simply criminal to claim that it excluded an infected person come in to train against
#NLWakeUp https://t.co/fs2mVbdflg",-0.9656,negative
"@volkskrant We do not have a virus other than China and Italy? We do know what happens when you sit dozing?

Netherlands has so far fastest outbreak situation could well become much more intense pace than Italy.

 I'm really not good at this kind of lazy.",-0.4844,negative
"#coronavirus it is also, unfortunately closer #coronanederland # COVID2019 #Venlo https://t.co/tYeqgH4id7",-0.34,negative
"RT @spectatorindex: Stock Markets today.

Italy: -10%
Norway: -8.9%
Spain: -7.5%
France: -7.2%
Germany: -7.1%
Netherlands: -7.1%
Saudi: -7.2 ...",0.0,neutral
"@KHJ_Esq The Corona crisis offers great opportunities for showing That we can be responsible, empathetic human beings, or for proving to be selfish, ignorant assholes. your choice",-0.34,negative
"RT @parool: The coronavirus is expanding in the Netherlands. When switched to phase 2 of the fight?
https://t.co/...",-0.3818,negative
"🤣🤣🤣 public health at 1 ??
You NAM Shell, Unilever etc pals certainly

 https://t.co/66qtO8ur20",0.4137,positive
"And always, always heartless religious fundamentalists when the nature shows its harsh edges. https://t.co/4PuRdrAsyY",-0.7269,negative
